 averageDensity ratio deltaenergy energy
0 1.0526315789495846 0.47 0.001629369412544195 -0.8511295976686288
1 0.7688050166274305 0.6 0.0005896825659351191 -1.1076646544181978
2 5.4576348105600125 0.8 0.009204585380018365 -1.984370815677966
3 0.5771013262918546 0.6 0.00089745956159988 -1.0678263342082237
4 0.666091881616638 0.6 0.0007538963383041573 -1.0886274250440917
5 0.3894736842116742 0.47 0.0008708937197533578 -0.97816305454957
6 1.1473684210493706 0.5 0.0010347844678622827 -0.9176939842519688
7 1.810526315790617 0.5 0.002603446479729932 -0.5713609777777778
8 6.299216575204941 0.75 0.006796672921208483 -1.5401505777777775
9 0.7156079793589396 0.65 0.0011890529641475206 -1.129379415738713
10 2.421434651922443 0.75 0.0034342741210671647 -1.5670232177777779
11 1.5748041438012352 0.65 0.002591950375957267 -1.2671791866253406
12 3.3837446224169097 0.75 0.0037315542043441625 -1.6360007577413485
13 0.5371691196880993 0.7 0.001421347969947951 -1.108219536019536
14 1.431578947369868 0.47 0.0008290786896869044 -0.6176068392650557
15 3.225795927027054 0.8 0.0038769836769700955 -1.7999250762195125
16 2.539998396472444 0.75 0.0020223111900158617 -1.5765018781362012
17 1.2421052631605358 0.45 0.0015620033555793394 -0.6382248070987653
18 1.1003260089500837 0.65 0.0009515980792168987 -1.2167846341692503
19 1.9527635094383453 0.65 0.0027805621728958937 -1.2712424532732225
20 1.2421052631605358 0.5 0.0016384576022155561 -0.8813025396825396
21 0.294736842105015 0.47 0.000586284318032804 -0.9747874332277056
22 1.6918723112113172 0.6 0.002380822058041702 -1.1314523809523815
23 0.9533213309493918 0.65 0.0017291125542244377 -1.1868065787634532
24 2.794826298308047 0.8 0.002318873813607834 -1.7392810721544711
25 2.6643675264701017 0.75 0.003161295151481805 -1.5960899498207881
26 2.2538848224583625 0.65 0.0038704756231225995 -1.2582405301775144
27 1.6918723112113172 0.7 0.0020471807408304252 -1.3720448326530619
28 2.794826298308047 0.6 0.003069489128974785 -0.8666118337850045
29 0.8873567895173553 0.65 0.000928942895590333 -1.172063015384615
30 0.6736842105263158 0.47 0.0004395884886349025 -0.9714886487989365
31 0.8259566279908331 0.65 0.0012535021430469023 -1.1568594138750408
33 0.5789473684219667 0.5 0.0005836064650549425 -1.0069973333333335
34 1.4658364433797062 0.65 0.001652584619523168 -1.2635304065661384
35 1.024189560250279 0.7 0.0009657542220407142 -1.2427089959183673
36 3.225795927027054 0.65 0.0029649304174556032 -1.117445619393014
37 1.7157894736800023 0.5 0.0016014741818805621 -0.6349887365079366
38 1.3644087026400031 0.65 0.0009366576824945351 -1.252922433136094
40 6.9311918336782545 0.75 0.009823910991741161 -1.5008070508474576
41 0.6736842105263158 0.5 0.0006684600911719722 -1.0102328749999998
42 2.0 0.8 0.0026555430892137135 -1.5876441565040649
43 6.299216575204941 0.8 0.007386070714136497 -1.9867348657024793
44 1.1003260089500837 0.6 0.0011411112138017174 -1.1531194444444446
45 4.096758241005312 0.75 0.004381221241652454 -1.6534460036429879
46 0.5371691196880993 0.6 0.0011089651155957558 -1.061041578483245
47 3.465595916827117 0.7 0.005242122547031138 -1.3995718931475025
48 1.5263157894692658 0.45 0.0014994800676427064 -0.3903888849696257
49 0.8259566279908331 0.7 0.0011195068888701755 -1.1867144152899258
50 0.8631578947337529 0.45 0.0007927711354466577 -0.8737158744045886
51 6.005177529405753 0.75 0.005361826072064268 -1.5700604591368226
52 1.2699991982297705 0.65 0.0011924009218750944 -1.2419089223314541
53 4.297352957504795 0.75 0.005607040165570524 -1.6692850666666663
54 0.6200020228295118 0.65 0.0007697774095628978 -1.100427116432931
55 0.3894736842116742 0.45 0.0006709725069757883 -0.968102919851068
56 6.607653023926665 0.75 0.017889504595726274 -1.546877281045752
57 2.6014398407113055 0.6 0.003094839043548751 -0.9247931451612907
58 3.0025887646938605 0.65 0.003106816673625608 -1.1587323535025762
59 1.2699991982297705 0.6 0.002098289732206824 -1.1591193788276473
60 0.9533213309493918 0.6 0.0010354610392372527 -1.1381196850393702
61 1.1003260089500837 0.7 0.0012643043468630218 -1.2620199546485265
62 1.7157894736800023 0.47 0.002346094004236787 -0.395876760425318
63 3.9055270188766906 0.75 0.004143802891299441 -1.6667935103884366
64 1.431578947369868 0.5 0.0021068691232785665 -0.7916638992125985
65 2.421434651922443 0.6 0.002539964147139768 -0.9814026666666668
66 3.3837446224169097 0.8 0.006976520829157186 -1.8325159865702478
67 3.9055270188766906 0.8 0.00412076189927335 -1.8731226946721304
68 2.0979285106518653 0.75 0.0021091979764248205 -1.522261417989419
69 0.7684210526337628 0.45 0.0005738386343436872 -0.911474483024691
70 0.5 0.7 0.0010542398513307143 -1.102371624489796
71 2.2538848224583625 0.6 0.002017715365625347 -1.0254137333333333
72 2.2006520178904814 0.75 0.002134390331712578 -1.5391014684444455
73 1.3644087026400031 0.6 0.001186850849197445 -1.1579498687664043
74 1.9052631578912471 0.45 0.0019311477817340677 0.005439293513619439
75 3.7232222156806882 0.75 0.005124449435643281 -1.6588704607046068
76 4.728489228769271 0.75 0.004178325984251093 -1.6410342003642995
77 8.0 0.8 0.007274501840332827 -1.973050206611569
78 2.794826298308047 0.75 0.002583323148421539 -1.6040022939068097
79 1.7157894736800023 0.45 0.0030241308879050306 -0.20441017983863122
80 2.421434651922443 0.65 0.003070767410701038 -1.2452979194502767
81 4.0 0.65 0.007632708442094135 -0.950628989272141
82 5.4576348105600125 0.75 0.005036438365845745 -1.6131843286647995
83 1.3368421052595696 0.45 0.001463038725492569 -0.5596525432098761
